shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
佰分购旗舰店,2199.0,24期分期 赠原厂碎屏保】Redmi K60至尊版<span class=H>手机</span><span class=H>小米</span>官方旗舰店红米K60至尊版官网正品红米k60ultra新品红米k60,732376683337,19,广东 深圳,1,1,1,0,1,天玑9200+,5000,120,,1,5000
鼎诺数码科技,899.0,MIUI/<span class=H>小米</span> Redmi Note 13 5G<span class=H>手机</span>红米note13智能<span class=H>手机</span>1 亿像素直屏,739623382392,13,河南 郑州,1,1,1,0,0,天玑6080,10000+200,33,,2,10000
千里云海科技企业店,1678.0,MIUI/<span class=H>小米</span> Redmi K70E天玑8300-Ultra澎湃OS1.5K直屏<span class=H>手机</span>90W+5500,752311348411,39,陕西 西安,1,1,1,0,1,天玑8300-Ultra,6400+800+200,90,,3,6400
雷鹏数码科技,1684.0,MIUI/<span class=H>小米</span> Redmi K70E官网正品智能新款游戏红米k70e学生<span class=H>小米</span><span class=H>手机</span>,752197213582,3,河南 郑州,0,1,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
苏宁易购官方旗舰店,749.0,【新品上市】<span class=H>小米</span>Redmi 13C 5G智能<span class=H>手机</span>天玑6100+性能芯5000mAh长续航官方旗舰店全新正品老年机学生机 2067,759130746334,2,广东 深圳,1,0,1,0,0,天玑6100+,5000+8,18,,2,5000
苏宁易购官方旗舰店,1609.0,MIUI/<span class=H>小米</span> Redmi Note 13 Pro<span class=H>手机</span>红米2亿像素note<span class=H>手机</span><span class=H>小米</span>官方旗舰店官网新品<span class=H>小米</span>note13【2004】,741062227540,10,北京,1,0,1,0,0,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
机御旗舰店,1879.0,24期分期 送碎屏宝】Redmi红米Note 12 Turbo<span class=H>手机</span>官方旗舰店正品官网新品红米note12tpro<span class=H>小米</span><span class=H>手机</span>note12turbo,708547764954,24,广东 深圳,1,1,1,0,1,第二代骁龙7+,6400+800+200,67,,3,6400
三际数码官方旗舰店,2299.0,送碎屏宝新品上市MIUI/<span class=H>小米</span>红米 Redmi K70 红米K70<span class=H>手机</span>旗舰店官网红米k70pro拍照智能学生<span class=H>小米</span><span class=H>手机</span>k70 60,750781010865,12,山东 济南,1,1,1,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
雷鹏数码科技,2829.0,现货 MIUI/<span class=H>小米</span> Redmi K70 Pro<span class=H>小米</span><span class=H>手机</span>智能红米k70pro冠军限量版,752330843320,3,河南 郑州,0,1,1,0,0,骁龙8 Gen 3,5000+1200+5000,120,,3,5000
苏宁易购官方旗舰店,748.0,MIUI/<span class=H>小米</span> Redmi 红米12C官方旗舰店大音量学生老年备用机老人百元机12c智能<span class=H>手机</span>【2004】,735486870107,15,北京,1,0,1,0,0,Helio G85,5000+,10,,2,5000
