shopTitle,price,title,item_id,realSales,procity
晴天智能,160.00,MIUI/<span class=H>小米</span> Xiaomi 5X全网通5寸6寸双开分屏全网通ROOT工作室<span class=H>手机</span>,732178561188,3人付款,广东 深圳
深圳正品手机店铺,518.00,MIUI/<span class=H>小米</span> Redmi Note 11 5G全新红米9A10A老人学生大屏智能<span class=H>手机</span>,706004040652,3人付款,广东 深圳
深圳远望行货数码,635.00,新款红米12R 5G全网通Redmi12智能大屏大电池MIUI/<span class=H>小米</span> Redmi 12C,742807956952,38人付款,广东 深圳
国产品牌手机超市,598.00,MIUI/<span class=H>小米</span> REDMI 10A老人机大字体大声<span class=H>小米</span>全网通4G老年智能<span class=H>手机</span>,702676788968,3人付款,江苏 南京
航杰数码,495.00,MIUI/<span class=H>小米</span> 8天下游root面具定位xp LSP框架备用游戏工作室<span class=H>手机</span>,728008939159,21人付款,广东 深圳
蒂芙家,119.00,MIUI/<span class=H>小米</span> 4 移动 3GB内存版 移动老用户,704738257112,1人付款,四川 成都
惠至安数码专营店,507.00,现货当天发红米<span class=H>手机</span>Redmi 10A红米10A新款5000mAh大电量大屏幕<span class=H>小米</span><span class=H>手机</span>中老人智能<span class=H>手机</span>学生拍照<span class=H>手机</span>红米9a,768762577739,12人付款,广东 深圳
裕源益数码,220.00,正品<span class=H>小米</span>红米Note8pro全网通智能机红米note8全面屏人脸游戏<span class=H>手机</span>,697186625913,13人付款,广东 深圳
苏宁易购官方旗舰店,779.00,MIUI/<span class=H>小米</span> Redmi 13C 5G 新款红米5G<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span>旗舰店官方2023百元老人机备用机【2004】,761521891623,3人付款,北京
东信通讯数码城,518.00,MIUI/<span class=H>小米</span> Redmi NOTE 10 PRO全网通双卡双待5G<span class=H>手机</span>note9<span class=H>小米</span>10,762791179595,2人付款,广东 深圳
大美丽数码,135.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>8 青春版全网通4G全面屏智能游戏 备用机 工作<span class=H>手机</span>,688529853529,2人付款,广东 深圳
启能数码专营店,479.00,【原封】<span class=H>小米</span>Redmi Note7 骁龙660处理器 AI双摄 全网通4G 双卡 18W快充 水滴全面屏拍照,597161610897,6人付款,北京
丰昌精品数码,695.00,MIUI/<span class=H>小米</span> 11 青春版全网通5G双卡双待骁龙780G轻薄大屏智能2<span class=H>手机</span>,762862516166,57人付款,广东 深圳
小米优品商城,495.00,MIUI/<span class=H>小米</span> Xiaomi CC9全网通双卡双待美图=老人学生游戏智能<span class=H>手机</span>,750463075539,3人付款,广东 深圳
深圳正品手机店铺,458.00,MIUI/小米 REDMI 10A红米9A八核大电量屏幕老人学生备用智能手机,743096324565,94人付款,广东 深圳
优品电子数码企业店铺,369.00,MIUI/小米 REDMI 9A大屏幕大电池学生老人便宜智能手机红米10a,760768829364,13人付款,广东 深圳
优品电子数码企业店铺,439.00,MIUI/小米 REDMI 10A八核大电量屏幕老人学生智能手机正品红米9A,760844851035,17人付款,广东 深圳
光速数码,449.00,MIUI/<span class=H>小米</span> REDMI 10A八核大电量屏幕老人学生智能<span class=H>手机</span>正品红米9A,758505481958,5人付款,广东 深圳
翔泰世纪通讯,450.00,MIUI/<span class=H>小米</span> Redmi Note 9 Pro 红米note9 5g官方旗舰游戏<span class=H>手机</span>大屏,702662105138,11人付款,广东 深圳
